Employee_ID,Name,Department,Role,Hire_Date,Month,KPI_Score,Attendance_Rate,Attrition,Tenure_Months,Manager
EMP1000,Kevin Scott,Sales,Specialist,2023-01-11,Jan-2024,80.2,99.4,No,33,Kimberly Jefferson
EMP1000,Kevin Scott,Sales,Analyst,2023-01-11,Feb-2024,90.3,90.6,No,33,Kimberly Jefferson
EMP1000,Kevin Scott,Sales,Senior Associate,2023-01-11,Mar-2024,81.9,88.4,No,33,Kimberly Jefferson
EMP1000,Kevin Scott,Sales,Associate,2023-01-11,Apr-2024,71.0,99.4,No,33,Kimberly Jefferson
EMP1000,Kevin Scott,Sales,Specialist,2023-01-11,May-2024,77.2,86.1,No,33,Kimberly Jefferson
EMP1000,Kevin Scott,Sales,Analyst,2023-01-11,Jun-2024,75.1,93.3,No,33,Kimberly Jefferson
EMP1000,Kevin Scott,Sales,Specialist,2023-01-11,Jul-2024,75.2,94.4,No,33,Kimberly Jefferson
EMP1000,Kevin Scott,Sales,Specialist,2023-01-11,Aug-2024,80.0,95.4,No,33,Kimberly Jefferson
EMP1000,Kevin Scott,Sales,Senior Associate,2023-01-11,Sep-2024,96.5,93.8,No,33,Kimberly Jefferson
EMP1000,Kevin Scott,Sales,Associate,2023-01-11,Oct-2024,67.3,98.5,No,33,Kimberly Jefferson
EMP1000,Kevin Scott,Sales,Specialist,2023-01-11,Nov-2024,96.9,89.2,No,33,Kimberly Jefferson
EMP1000,Kevin Scott,Sales,Associate,2023-01-11,Dec-2024,66.9,87.8,No,33,Kimberly Jefferson
EMP1001,David Mccarthy,Sales,Analyst,2024-11-08,Jan-2024,53.8,93.8,No,11,Kimberly Jefferson
EMP1001,David Mccarthy,Sales,Specialist,2024-11-08,Feb-2024,69.7,86.2,No,11,Kimberly Jefferson
EMP1001,David Mccarthy,Sales,Associate,2024-11-08,Mar-2024,78.4,89.6,No,11,Kimberly Jefferson
